bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,OTHER,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
Csv_13,3,0,1,0,0,0,10,0,2,3,8,0,0,0,0,8
Csv_16,11,0,0,7,0,0,8,0,0,4,4,0,0,0,0,11
Csv_7,4,0,0,13,0,0,10,0,3,13,8,0,0,0,0,7
Csv_8,1,0,0,0,0,0,5,0,0,1,4,0,0,0,0,1
Gson_1,2,0,0,9,0,0,13,0,2,1,8,0,0,0,0,6
Gson_3,3,0,0,0,0,0,10,0,2,5,7,0,0,0,0,4
Gson_4,3,0,0,2,0,1,21,0,5,4,12,0,1,3,0,14
Gson_7,3,0,0,2,0,0,16,0,10,0,10,0,0,0,0,2
Gson_8,10,0,1,29,0,0,7,0,5,1,14,0,0,8,0,15
Gson_9,5,0,0,6,0,0,14,0,5,2,11,0,1,3,0,9
JacksonCore_1,2,0,9,27,7,0,12,1,3,8,8,0,2,0,0,18
JacksonCore_10,3,0,1,2,0,0,12,0,7,15,8,0,0,1,0,6
JacksonCore_12,6,0,0,0,0,0,10,0,10,0,4,0,0,1,0,5
JacksonCore_16,3,0,0,9,0,0,10,0,2,1,9,0,0,0,1,11
JacksonCore_17,3,0,0,11,0,0,7,0,8,13,5,0,1,2,0,3
JacksonCore_18,12,0,1,23,0,0,10,0,5,10,12,0,0,0,0,10
JacksonCore_19,16,0,0,6,0,0,10,0,2,3,8,0,0,0,0,18
JacksonCore_2,8,0,1,2,0,0,15,0,9,2,15,0,1,3,0,11
JacksonCore_21,2,0,0,10,0,0,6,0,2,16,7,0,0,1,0,2
JacksonCore_22,4,0,0,3,0,0,10,0,4,4,9,0,1,2,0,8
JacksonCore_24,3,0,0,4,0,0,11,0,2,8,7,0,0,1,0,2
JacksonCore_9,1,0,0,0,0,0,5,0,1,1,5,0,0,0,0,1
JacksonDatabind_10,4,0,0,16,0,0,21,0,8,3,6,0,0,5,0,10
