bug_id,repair,failed_test_prior,failed_test_after,regression_reduction,compile_fail
Lang-63,1,1,0,1,0
Lang-64,1,1,0,1,0
Lang-65,1,1,0,1,0
Math-1,1,2,0,2,0
Math-4,1,2,0,2,0
Math-6,1,26,0,26,0
Math-7,1,1,0,1,0
Math-12,1,0,0,0,0
Math-14,1,1,0,1,0
Math-15,1,1,0,1,0
Math-16,1,2,0,2,0
Math-18,0,1,1,0,0
Math-21,0,2,2,0,0
Math-22,1,0,0,0,0
Math-23,1,1,0,1,0
Math-24,1,1,0,1,0
Math-26,1,1,0,1,0
Math-28,1,1,0,1,0
Math-29,1,0,0,0,0
Math-31,0,2,1,1,0
Math-35,1,4,0,4,0
Math-36,1,2,0,2,0
Math-37,1,4,0,4,0
Math-38,1,1,0,1,0
Math-44,1,1,0,1,0
Math-46,1,2,0,2,0
Math-47,1,2,0,2,0
Math-49,1,1,0,1,0
Math-52,1,1,0,1,0
Math-54,1,1,0,1,0
Math-55,1,1,0,1,0
Math-61,1,1,0,1,0
Math-62,1,1,0,1,0
Math-64,1,2,0,2,0
Math-65,1,1,0,1,0
Math-66,0,4,2,2,0
Math-68,0,2,3,-1,0
Math-71,1,2,0,2,0
Math-72,1,1,0,1,0
Math-76,0,2,1,1,0
Math-77,1,2,0,2,0
Math-78,1,1,0,1,0
Math-81,1,1,0,1,0
Math-83,1,1,0,1,0
Math-84,1,2,0,2,0
Math-86,1,2,0,2,0
Math-90,1,1,0,1,0
Math-92,1,1,0,1,0
Math-93,1,1,0,1,0
Math-98,1,2,0,2,0
Math-99,1,2,0,2,0
Math-100,1,1,0,1,0
Math-106,1,1,0,1,0
Mockito-2,1,3,0,3,0
Mockito-3,0,9,3,6,0
Mockito-4,0,4,1,3,0
Mockito-6,0,7,1,6,0
Mockito-9,1,3,0,3,0
Mockito-10,0,1,3,-2,0
Mockito-14,1,1,0,1,0
Mockito-15,1,1,0,1,0
Mockito-16,1,1,0,1,0
Mockito-17,1,1,0,1,0
Mockito-19,1,1,0,1,0
Mockito-20,1,8,0,8,0
Mockito-21,1,1,0,1,0
Mockito-23,0,1,1,0,0
Mockito-25,0,6,1,5,0
Mockito-30,1,1,0,1,0
Mockito-31,1,1,0,1,0
Mockito-32,1,1,0,1,0
Mockito-35,1,4,0,4,0
Mockito-36,1,2,0,2,0
Time-1,1,1,0,1,0
Time-2,1,1,0,1,0
Time-3,1,5,0,5,0
Time-6,1,5,0,5,0
Time-9,1,1,0,1,0
Time-10,1,2,0,2,0
Time-12,1,8,0,8,0
Time-13,1,1,0,1,0
Time-23,1,1,0,1,0
Time-26,1,8,0,8,0
JacksonXml-2,0,1,1,0,0
