bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,OTHER,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WRITE
JacksonDatabind_29,4,0,1,0,4,7,13,3,4,7,0,24,2,45
JacksonDatabind_3,0,0,0,0,2,1,0,1,2,5,0,3,0,16
JacksonDatabind_30,0,0,0,0,0,0,0,5,2,4,0,2,0,32
JacksonDatabind_31,1,0,0,0,0,4,0,8,2,8,0,3,0,26
JacksonDatabind_32,6,1,0,0,5,2,0,2,6,9,0,2,0,18
JacksonDatabind_36,22,1,0,0,0,14,0,4,4,10,0,10,0,38
JacksonDatabind_38,3,0,0,0,0,2,0,4,3,6,0,0,0,32
JacksonDatabind_4,2,0,0,0,3,5,0,8,3,5,0,3,1,24
JacksonDatabind_41,1,0,0,0,0,5,0,6,2,5,0,6,0,23
JacksonDatabind_43,3,1,0,0,0,4,0,2,2,6,0,4,0,15
JacksonDatabind_48,2,0,0,0,1,5,1,5,1,9,0,2,0,34
JacksonDatabind_50,5,0,0,0,1,4,1,8,1,11,0,9,0,50
JacksonDatabind_52,2,0,0,0,1,2,0,5,2,6,0,2,0,31
JacksonDatabind_53,0,0,0,0,3,1,0,19,3,6,0,2,0,68
JacksonDatabind_54,5,0,0,0,0,2,0,4,3,11,0,9,0,16
JacksonDatabind_55,8,1,0,0,0,2,0,3,1,7,0,11,0,21
JacksonDatabind_56,2,0,0,0,0,5,0,4,3,10,0,12,0,18
JacksonDatabind_59,6,0,0,0,0,6,1,8,5,7,0,7,0,47
JacksonDatabind_6,6,0,0,0,3,2,0,2,4,6,0,12,1,26
JacksonDatabind_60,2,0,0,0,0,2,0,7,4,6,0,14,0,29
JacksonDatabind_61,0,0,0,0,0,3,0,4,3,5,0,2,0,19
JacksonDatabind_65,2,0,0,0,0,2,0,3,2,6,0,5,0,15
JacksonDatabind_66,5,0,0,0,0,2,0,2,2,9,0,5,0,20
JacksonDatabind_68,0,0,0,0,3,13,0,5,3,9,0,2,0,32
JacksonDatabind_69,4,0,0,0,3,4,0,6,1,11,0,9,0,27
JacksonDatabind_72,0,0,0,0,0,0,0,1,2,5,0,0,0,12
JacksonDatabind_73,0,0,0,0,0,2,0,9,2,10,0,2,0,39
JacksonDatabind_75,1,0,0,0,0,5,0,8,2,5,0,1,0,25
JacksonDatabind_77,6,0,0,0,2,2,0,10,2,8,0,7,0,34
JacksonDatabind_78,4,0,0,0,0,4,0,6,8,7,0,19,0,21
JacksonDatabind_79,3,1,0,0,0,3,0,7,4,14,0,9,0,25
JacksonDatabind_8,0,0,0,0,0,3,0,6,4,8,1,3,0,25
JacksonDatabind_80,2,0,0,0,0,6,0,5,2,6,0,3,0,22
JacksonDatabind_81,1,0,0,0,0,5,0,2,2,7,0,9,0,13
JacksonDatabind_87,2,0,0,0,0,6,0,1,3,4,0,1,0,14
JacksonDatabind_90,4,0,0,0,1,2,0,3,3,8,0,7,0,21
JacksonDatabind_94,1,0,0,0,0,1,0,2,3,4,0,2,0,13
JacksonDatabind_95,2,0,0,0,3,7,0,2,2,6,0,1,0,15
JacksonXml_1,1,0,0,0,2,2,0,2,5,9,1,2,0,20
JacksonXml_2,1,0,0,0,1,2,0,2,2,5,0,10,0,12
JacksonXml_6,3,0,0,0,2,0,0,3,1,9,0,8,0,18
Jsoup_11,2,0,0,3,1,0,0,2,2,4,0,1,0,12
Jsoup_12,1,0,0,0,1,2,0,3,4,5,0,11,0,17
Jsoup_14,0,0,0,0,0,0,0,6,1,4,0,2,0,22
Jsoup_16,1,0,0,0,0,1,0,0,2,4,0,0,0,9
Jsoup_18,2,0,0,0,1,0,0,3,2,4,0,1,0,15
Jsoup_21,1,0,0,0,0,0,0,1,1,8,0,0,0,9
Jsoup_22,0,0,0,0,0,0,0,1,1,4,0,0,0,14
Jsoup_23,1,0,0,0,0,0,0,0,3,3,0,5,0,5
Jsoup_28,1,0,0,0,2,0,0,1,2,4,0,1,0,9
Jsoup_29,1,0,0,0,0,1,0,1,1,4,0,0,0,9
Jsoup_3,5,0,0,0,0,2,0,8,1,8,0,1,0,25
Jsoup_30,0,0,0,0,0,1,0,1,1,4,0,1,0,8
Jsoup_31,2,0,0,0,1,0,0,1,3,3,0,4,0,16
Jsoup_36,1,0,0,0,0,0,0,0,2,4,0,0,0,5
Jsoup_4,1,0,0,0,0,2,0,5,1,7,0,0,0,8
Jsoup_42,2,0,0,0,0,1,0,3,1,4,0,4,0,10
Jsoup_50,1,0,0,0,1,0,0,3,1,4,0,2,0,6
Jsoup_52,0,0,0,0,0,1,0,1,3,4,0,0,0,13
Jsoup_56,1,0,0,0,0,0,0,3,2,5,0,6,0,16
Jsoup_58,0,0,0,0,0,1,0,1,1,11,0,0,0,16
Jsoup_59,1,0,0,0,0,0,0,3,1,4,0,2,0,22
Jsoup_60,0,0,0,0,4,3,0,4,1,5,0,1,0,23
Jsoup_63,11,2,0,0,8,4,0,8,5,5,0,14,0,31
Jsoup_65,1,0,0,0,0,0,0,5,1,5,0,0,0,23
Jsoup_66,0,0,0,2,5,4,0,10,1,18,0,1,0,36
Jsoup_67,1,0,0,0,1,1,0,7,1,7,0,1,0,24
Jsoup_7,8,0,0,0,7,5,0,1,3,19,0,0,0,28
Jsoup_71,4,0,0,0,0,3,0,14,2,6,0,9,0,42
Jsoup_73,0,0,0,0,0,0,0,1,1,8,0,1,0,9
Jsoup_74,2,0,0,0,0,2,0,4,1,5,0,3,0,16
Jsoup_78,1,0,0,0,2,0,0,2,1,5,0,2,0,14
Jsoup_79,2,0,0,0,1,0,0,3,2,7,0,1,0,11
Jsoup_81,2,0,0,0,0,3,0,0,1,6,0,5,0,12
Jsoup_83,8,0,0,3,1,2,0,6,2,14,0,2,0,32
Jsoup_87,2,0,0,0,0,0,0,4,2,6,0,4,0,22
Jsoup_91,3,2,0,0,0,8,1,4,9,5,1,15,0,37
Jsoup_92,2,0,0,0,5,1,0,5,2,5,0,6,0,32
JxPath_1,2,0,0,0,1,1,0,7,2,4,0,6,0,52
JxPath_11,0,0,0,0,0,0,0,10,1,6,0,2,0,32
JxPath_13,1,0,0,0,0,1,0,2,1,5,0,4,0,8
JxPath_15,1,0,0,0,0,0,0,3,1,3,0,5,0,13
JxPath_16,2,0,0,0,2,0,0,2,1,4,0,1,0,10
JxPath_17,1,0,0,0,0,0,0,1,1,3,0,1,0,4
JxPath_18,3,0,0,0,0,1,0,5,1,6,0,2,0,21
JxPath_19,0,0,0,0,0,0,0,2,4,5,0,1,0,13
JxPath_2,0,0,0,0,0,0,0,4,5,5,0,1,0,14
JxPath_20,1,0,0,0,0,0,0,4,5,4,0,3,0,17
JxPath_3,0,0,0,0,0,3,0,9,1,9,0,2,0,30
JxPath_4,1,0,0,0,0,1,0,6,5,13,0,4,0,26
JxPath_7,1,0,0,0,0,0,0,1,3,6,0,1,0,17
JxPath_9,14,1,0,0,0,0,0,6,3,8,0,4,0,22
Lang_13,2,0,0,0,0,1,0,0,4,4,0,2,0,7
Lang_15,4,0,0,0,2,2,0,5,2,5,0,2,0,20
Lang_19,1,0,0,0,0,1,0,0,2,5,0,2,0,6
