bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
time_1,26,1,0,0,0,11,0,0,4,7,0,0,2,0,17
time_10,1,0,0,0,0,7,0,6,3,6,0,0,3,0,7
time_12,2,1,0,0,0,6,0,1,6,4,0,1,0,0,11
time_13,19,0,0,0,0,10,0,3,4,5,0,0,0,0,20
time_2,14,1,1,0,0,14,0,3,9,10,0,0,0,0,12
time_23,9,0,1,0,0,20,0,12,7,12,0,0,4,0,13
time_26,1,0,0,0,0,11,0,6,7,5,0,1,0,0,8
time_3,8,0,1,0,0,8,0,0,7,6,0,0,0,0,12
time_6,5,0,0,0,0,17,0,5,7,11,0,0,3,0,15
time_9,1,0,0,0,0,9,0,3,7,5,0,0,1,0,9
